Category,License,Dependency,Notes
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.seleniumhq.selenium # selenium-firefox-driver # 3.5.3,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.seleniumhq.selenium # selenium-remote-driver # 3.5.3,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.seleniumhq.selenium # selenium-support # 3.5.3,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",xalan # serializer # 2.7.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",xalan # xalan # 2.7.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",xerces # xercesImpl # 2.11.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",xml-apis # xml-apis # 1.4.01,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalactic # scalactic_2.12 # 3.0.5,
BSD,BSD (LICENSE.txt),com.thoughtworks.paranamer # paranamer # 2.8,
BSD,BSD (https://github.com/sbt/test-interface/blob/master/LICENSE),org.scala-sbt # test-interface # 1.0,
BSD,BSD 3-Clause (http://www.scala-lang.org/license.html),org.scala-lang # scala-library # 2.12.6,
BSD,BSD 3-Clause (http://www.scala-lang.org/license.html),org.scala-lang # scala-reflect # 2.12.6,
BSD,BSD 3-clause (http://opensource.org/licenses/BSD-3-Clause),org.scala-lang.modules # scala-java8-compat_2.12 # 0.8.0,
BSD,BSD 3-clause (http://opensource.org/licenses/BSD-3-Clause),org.scala-lang.modules # scala-parser-combinators_2.12 # 1.1.0,
BSD,BSD 3-clause (http://opensource.org/licenses/BSD-3-Clause),org.scala-lang.modules # scala-xml_2.12 # 1.0.6,
BSD,New BSD License (http://www.opensource.org/licenses/bsd-license.php),org.hamcrest # hamcrest-core # 1.3,
BSD,The New BSD License (http://www.opensource.org/licenses/bsd-license.html),org.reflections # reflections # 0.9.11,
BSD,Two-clause BSD-style license (http://github.com/sbt/junit-interface/blob/master/LICENSE.txt),com.novocode # junit-interface # 0.11,
CC0,CC0 (http://creativecommons.org/publicdomain/zero/1.0/),org.reactivestreams # reactive-streams # 1.0.2,
GPL,AGPL-V3 (https://www.gnu.org/licenses/agpl-3.0.html),org.thehive-project # elastic4play_2.12 # 1.11.5,
GPL,AGPL-V3 (https://www.gnu.org/licenses/agpl-3.0.html),org.thehive-project # thehivebackend_2.12 # 3.4.0-1,
GPL,AGPL-V3 (https://www.gnu.org/licenses/agpl-3.0.html),org.thehive-project # thehivecortex_2.12 # 3.4.0-1,
GPL,AGPL-V3 (https://www.gnu.org/licenses/agpl-3.0.html),org.thehive-project # thehivemisp_2.12 # 3.4.0-1,
GPL,CDDL/GPLv2+CE (https://github.com/javaee/activation/blob/master/LICENSE.txt),javax.activation # javax.activation-api # 1.2.0,
GPL,GPL2 w/ CPE (https://oss.oracle.com/licenses/CDDL+GPL-1.1),javax.xml.bind # jaxb-api # 2.3.1,
LGPL,GNU Lesser General Public License (http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html),ch.qos.logback # logback-classic # 1.2.3,
LGPL,GNU Lesser General Public License (http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html),ch.qos.logback # logback-core # 1.2.3,
LGPL,"LGPL, version 2.1 (http://www.gnu.org/licenses/licenses.html)",net.java.dev.jna # jna # 4.1.0,
LGPL,"LGPL, version 2.1 (http://www.gnu.org/licenses/licenses.html)",net.java.dev.jna # jna-platform # 4.1.0,
MIT,MIT (https://opensource.org/licenses/MIT),com.sksamuel.exts # exts_2.12 # 1.60.0,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # jcl-over-slf4j # 1.7.25,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # jul-to-slf4j # 1.7.25,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # slf4j-api # 1.7.25,
MIT,MIT license (http://www.opensource.org/licenses/mit-license.php),org.codehaus.mojo # animal-sniffer-annotations # 1.14,
MIT,The MIT License (http://opensource.org/licenses/MIT),org.checkerframework # checker-compat-qual # 2.0.0,
Mozilla,MPL 1.1 (http://www.mozilla.org/MPL/MPL-1.1.html),org.javassist # javassist # 3.21.0-GA,
Mozilla,Mozilla Public License version 2.0 (http://www.mozilla.org/MPL/2.0/),net.sourceforge.htmlunit # htmlunit-core-js # 2.27,
Public Domain,Public Domain,aopalliance # aopalliance # 1.0,
unrecognized,Bouncy Castle Licence (http://www.bouncycastle.org/licence.html),org.bouncycastle # bcprov-jdk15on # 1.58,
unrecognized,Eclipse Public License 1.0 (http://www.eclipse.org/legal/epl-v10.html),junit # junit # 4.12,
unrecognized,JSR-000107 JCACHE 2.9 Public Review - Updated Specification                 License              (https://raw.github.com/jsr107/jsr107spec/master/LICENSE.txt),javax.cache # cache-api # 1.0.0,
unrecognized,The W3C Software License (http://www.w3.org/Consortium/Legal/copyright-software-19980720),org.w3c.css # sac # 1.3,
unrecognized,none specified (none specified),javax.transaction # jta # 1.1,
